DependencyCount, ThrowsException, ModifiesParameters, UnknownMethod, ModifiesLocalState, ReadsLocalState, ModifiesGlobalState, ReadsGlobalState, Bug
0, 0, 0, 0, 0, 1, 0, 2, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0, 0, 0, 0, 1, 0, 2, 0
22, 0, 0, 2, 0, 14, 0, 6, 0
8, 0, 0, 1, 0, 1, 0, 2, 0
8, 0, 0, 1, 0, 1, 0, 2, 0
6, 0, 0, 0, 0, 1, 0, 2, 0
8, 0, 0, 1, 0, 1, 0, 2, 0
8, 0, 0, 1, 0, 1, 0, 2, 0
6, 0, 0, 0, 0, 1, 0, 2, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 1, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 1, 0, 0, 0, 0, 0
4, 0, 0, 2, 0, 1, 0, 0, 0
16, 1, 0, 5, 0, 4, 0, 0, 0
18, 1, 0, 5, 0, 5, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
10, 0, 0, 5, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0, 0, 1, 0, 1, 0, 0, 0
2, 0, 0, 1, 0, 1, 0, 0, 0
12, 0, 0, 2, 0, 2, 0, 0, 0
26, 1, 0, 7, 0, 3, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 0, 0
8, 0, 0, 1, 0, 2, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 0, 0
12, 0, 0, 3, 0, 1, 0, 0, 0
24, 0, 0, 4, 0, 3, 0, 0, 0
26, 0, 0, 4, 0, 3, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0, 0, 1, 0, 1, 0, 0, 0
66, 0, 0, 11, 0, 7, 0, 0, 0
96, 1, 0, 18, 0, 10, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 0, 0
6, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
18, 0, 0, 1, 0, 1, 0, 0, 0
20, 0, 0, 1, 0, 1, 0, 0, 0
136, 1, 0, 25, 0, 14, 0, 0, 0
2, 0, 0, 1, 0, 1, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 1, 0
6, 0, 0, 1, 0, 1, 0, 2, 0
18, 0, 0, 6, 1, 4, 0, 2, 0
30, 1, 0, 10, 1, 10, 0, 2, 0
34, 1, 0, 11, 1, 11, 0, 2, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0, 0, 3, 0, 0, 0, 4, 0
